,loss,auc,binary_accuracy,precision,recall,lr
0,7.043148040771484,0.5472482442855835,0.5331315994262695,0.44388529658317566,0.522814929485321,1e-04
1,6.094169616699219,0.558067262172699,0.5479515790939331,0.4564421474933624,0.5042807459831238,1e-04
2,5.270248889923096,0.565548837184906,0.5535769462585449,0.4606771767139435,0.4838649034500122,1e-04
3,4.532244682312012,0.5744118690490723,0.5601722598075867,0.46743929386138916,0.4781258702278137,1e-04
4,3.880706310272217,0.5930303931236267,0.5759621262550354,0.4860454201698303,0.493179053068161,1e-04
5,3.3092997074127197,0.6112170219421387,0.5872517228126526,0.49952444434165955,0.4941198527812958,1e-04
6,2.832902669906616,0.6088670492172241,0.5889975428581238,0.5017161965370178,0.4813246726989746,1e-04
7,2.4229555130004883,0.6184161305427551,0.596717894077301,0.5116394758224487,0.4838649034500122,1e-04
8,2.0775740146636963,0.6327310800552368,0.6108007431030273,0.5301302075386047,0.4941198527812958,1e-04
9,1.7995657920837402,0.6389939785003662,0.6140207648277283,0.5345107316970825,0.49543702602386475,1e-04
10,1.5707623958587646,0.6488915085792542,0.624224066734314,0.5485032200813293,0.5016464591026306,1e-04
11,1.386618733406067,0.6571846604347229,0.6287243962287903,0.5546495914459229,0.5055978894233704,1e-04
12,1.2419954538345337,0.6579652428627014,0.6319444179534912,0.558756947517395,0.5108665227890015,1e-04
13,1.123541235923767,0.6669965386390686,0.6398587822914124,0.5702651739120483,0.5138771533966064,1e-04
14,1.0336432456970215,0.667594850063324,0.641526997089386,0.5742383599281311,0.5054097175598145,1e-04
15,0.9637954235076904,0.6677018404006958,0.6412942409515381,0.5746679902076721,0.5007055997848511,1e-04
16,0.8978140950202942,0.6860007643699646,0.655454695224762,0.5911365747451782,0.5333521366119385,1e-04
17,0.8612514138221741,0.6732807755470276,0.6503336429595947,0.5890063643455505,0.5030576586723328,1e-04
18,0.8185535073280334,0.6918528079986572,0.6648044586181641,0.6062840819358826,0.5337284803390503,1e-04
19,0.796692967414856,0.6816360354423523,0.6543684005737305,0.5946094393730164,0.5085144639015198,1e-04
20,0.7679173350334167,0.6874411702156067,0.6666278839111328,0.6154195070266724,0.5106783509254456,1e-04
21,0.7494714260101318,0.6882585883140564,0.6630974411964417,0.6101983189582825,0.5066328048706055,1e-04
22,0.7271206378936768,0.6983464360237122,0.6667054891586304,0.6110263466835022,0.5276131629943848,1e-04
23,0.716855525970459,0.6930280327796936,0.6675589680671692,0.6163053512573242,0.5135008096694946,1e-04
24,0.7044705152511597,0.699624240398407,0.6699255108833313,0.6169110536575317,0.5264841318130493,1e-04
25,0.7009570002555847,0.6934584975242615,0.6663563251495361,0.6186133623123169,0.49778905510902405,1e-04
26,0.6920669078826904,0.6994282007217407,0.6718652844429016,0.6242417097091675,0.5131244659423828,1e-04
27,0.682930588722229,0.7053720355033875,0.6735334992408752,0.6261682510375977,0.5168877840042114,1e-04
28,0.6834510564804077,0.6981028318405151,0.6675201654434204,0.6183469295501709,0.5060682892799377,1e-04
29,0.6730625033378601,0.7061826586723328,0.6724084615707397,0.6239083409309387,0.5175463557243347,1e-04
30,0.6713067293167114,0.7006102204322815,0.6686064600944519,0.620845377445221,0.5043748021125793,1e-04
31,0.6626091003417969,0.7087131142616272,0.6741154789924622,0.6223246455192566,0.5334462523460388,1e-04
32,0.6648695468902588,0.7031646966934204,0.6699643135070801,0.619616687297821,0.5170758962631226,1e-04
33,0.6603288650512695,0.70778888463974,0.6736111044883728,0.6251412034034729,0.5207451581954956,1e-04
34,0.6639314889907837,0.7005031108856201,0.6677917242050171,0.6143964529037476,0.5219681859016418,1e-04
35,0.6603975892066956,0.7035667300224304,0.6715937256813049,0.6224535703659058,0.5174522399902344,1e-04
36,0.6652829051017761,0.6709124445915222,0.6323323845863342,0.5647773146629333,0.4724809527397156,6e-05
