,loss,auc_1,binary_accuracy,precision_1,recall_1,lr
0,6.307574272155762,0.5553841590881348,0.5449716448783875,0.4434977173805237,0.5112103223800659,1e-04
1,5.006903171539307,0.5603162050247192,0.5514417886734009,0.4477909803390503,0.48968252539634705,1e-04
2,4.270631790161133,0.5728735327720642,0.5619059205055237,0.4578872621059418,0.4794642925262451,1e-04
3,3.721951723098755,0.57670658826828,0.5657400488853455,0.4609552025794983,0.46438491344451904,1e-04
4,3.264559030532837,0.5917356610298157,0.574806272983551,0.4714602530002594,0.4637896716594696,1e-04
5,2.880544424057007,0.5999008417129517,0.5862289071083069,0.485501229763031,0.4650793671607971,1e-04
6,2.562370777130127,0.601947546005249,0.5872673392295837,0.48641130328178406,0.45099207758903503,1e-04
7,2.2815325260162354,0.612438440322876,0.5957744121551514,0.4978053867816925,0.4613095223903656,1e-04
8,2.0357377529144287,0.6287655234336853,0.6112708449363708,0.5190889835357666,0.4680555462837219,1e-04
9,1.8229176998138428,0.6454929113388062,0.6214154362678528,0.5330328941345215,0.48105159401893616,1e-04
10,1.6497470140457153,0.646751344203949,0.6262081861495972,0.5400333404541016,0.4824404716491699,1e-04
11,1.4939032793045044,0.6504426002502441,0.6268472075462341,0.5415961146354675,0.4759920537471771,1e-04
12,1.360814094543457,0.6620481014251709,0.6396277546882629,0.5591097474098206,0.49593254923820496,1e-04
13,1.2445801496505737,0.6735958456993103,0.6482546329498291,0.5711889266967773,0.5066468119621277,1e-04
14,1.151574730873108,0.6748181581497192,0.6506909728050232,0.57750403881073,0.4930555522441864,1e-04
15,1.0712705850601196,0.6828969120979309,0.6607156991958618,0.5914598703384399,0.5084325671195984,1e-04
16,1.0046035051345825,0.6843224167823792,0.6600766777992249,0.5925882458686829,0.49811509251594543,1e-04
17,0.9465886354446411,0.6866075992584229,0.663391649723053,0.5990170240402222,0.4957341253757477,1e-04
18,0.9003247618675232,0.6920204758644104,0.6692227721214294,0.6095539927482605,0.4962301552295685,1e-04
19,0.8620196580886841,0.6932328343391418,0.6705407500267029,0.6108756065368652,0.5003968477249146,1e-04
20,0.8295841217041016,0.6990900635719299,0.6777697801589966,0.6239526867866516,0.5023809671401978,1e-04
21,0.7986907362937927,0.7047327756881714,0.6845195293426514,0.6331989765167236,0.5142857432365417,1e-04
22,0.7800419330596924,0.6981870532035828,0.6777298450469971,0.6251088976860046,0.49841269850730896,1e-04
23,0.7563652992248535,0.7098459601402283,0.6847991347312927,0.6294367909431458,0.5277777910232544,1e-04
24,0.7464060187339783,0.7051845788955688,0.6835609674453735,0.6341918706893921,0.5056547522544861,1e-04
25,0.730595052242279,0.7078548073768616,0.6837207674980164,0.6339075565338135,0.507440447807312,1e-04
26,0.7145036458969116,0.715848982334137,0.6863167881965637,0.6368666887283325,0.5137896537780762,1e-04
