,loss,auc,binary_accuracy,precision,recall,val_loss,val_auc,val_binary_accuracy,val_precision,val_recall,lr
0,7.14511251449585,0.5226625204086304,0.5194723606109619,0.4264906346797943,0.4785420298576355,6.499716758728027,0.6736471056938171,0.6352530717849731,0.5931034684181213,0.3644067943096161,1e-04
1,6.34606409072876,0.526458203792572,0.5226247906684875,0.42781615257263184,0.46619635820388794,5.768031597137451,0.7054330706596375,0.6439790725708008,0.5963855385780334,0.4194915294647217,1e-04
2,5.631433486938477,0.5262184143066406,0.5289781093597412,0.43348395824432373,0.4624338746070862,5.113036632537842,0.7086769938468933,0.6701570749282837,0.6535947918891907,0.4237288236618042,1e-04
3,4.979031085968018,0.5331025123596191,0.5314030647277832,0.4341641068458557,0.4485596716403961,4.505095958709717,0.7196663618087769,0.6561954617500305,0.6382978558540344,0.3813559412956238,1e-04
4,4.389486789703369,0.5390652418136597,0.5439643263816833,0.4462275505065918,0.43809524178504944,3.9570729732513428,0.7346476912498474,0.6719022393226624,0.6428571343421936,0.4576271176338196,1e-04
5,3.8631362915039062,0.5471137166023254,0.5487657189369202,0.45122694969177246,0.4345678985118866,3.483417510986328,0.7283419966697693,0.6701570749282837,0.6441717743873596,0.4449152648448944,1e-04
6,3.392258405685425,0.5580093860626221,0.5581744909286499,0.46238964796066284,0.43727219104766846,3.0487477779388428,0.7293668389320374,0.6719022393226624,0.6061946749687195,0.5805084705352783,1e-04
7,2.9919557571411133,0.5522763133049011,0.5541490912437439,0.45625635981559753,0.4218694865703583,2.67567777633667,0.7394821643829346,0.6823734641075134,0.7109375,0.3855932056903839,1e-04
8,2.628288984298706,0.570371687412262,0.5696687698364258,0.4764585494995117,0.43786007165908813,2.3553037643432617,0.729662299156189,0.6788830757141113,0.6368421316146851,0.5127118825912476,1e-04
9,2.3257384300231934,0.5663231611251831,0.5637033581733704,0.4676761031150818,0.4176366925239563,2.068488121032715,0.7555072903633118,0.6910994648933411,0.6255319118499756,0.6228813529014587,1e-04
