,loss,auc_1,binary_accuracy,precision_1,recall_1,lr
0,7.05893087387085,0.5474360585212708,0.535346269607544,0.43466195464134216,0.5127975940704346,1e-04
1,6.142642974853516,0.5508026480674744,0.5442527532577515,0.44089174270629883,0.49246031045913696,1e-04
2,5.324051856994629,0.5593494772911072,0.5516415238380432,0.44657841324806213,0.4751984179019928,1e-04
3,4.591185092926025,0.5668103694915771,0.5588704943656921,0.4535923898220062,0.46785715222358704,1e-04
4,3.9408249855041504,0.5756177306175232,0.568855345249176,0.4641532003879547,0.45922619104385376,1e-04
5,3.375875473022461,0.5874864459037781,0.5773224830627441,0.47431838512420654,0.4608134925365448,1e-04
6,2.893686056137085,0.5952596068382263,0.5818755626678467,0.47955000400543213,0.45248016715049744,1e-04
7,2.483933925628662,0.6056951284408569,0.5916207432746887,0.4921950697898865,0.4535714387893677,1e-04
8,2.14334774017334,0.61565762758255,0.6016454696655273,0.5058680176734924,0.45327380299568176,1e-04
9,1.8573341369628906,0.625187337398529,0.6067577004432678,0.5129339098930359,0.460317462682724,1e-04
10,1.6297917366027832,0.6272875666618347,0.613307774066925,0.5228106379508972,0.45248016715049744,1e-04
11,1.4422208070755005,0.6342424154281616,0.6203770041465759,0.5332485437393188,0.45744046568870544,1e-04
12,1.2894223928451538,0.6438760757446289,0.6267673373222351,0.5429673790931702,0.46071428060531616,1e-04
13,1.1711547374725342,0.6491028666496277,0.6325185894966125,0.5511701107025146,0.46964284777641296,1e-04
14,1.0784060955047607,0.6429547071456909,0.6270868182182312,0.5447428822517395,0.4487103223800659,1e-04
15,0.9968844056129456,0.6515703201293945,0.6386292576789856,0.5618705153465271,0.46488094329833984,1e-04
16,0.9354857802391052,0.6555085182189941,0.6395878195762634,0.565443754196167,0.4525793790817261,1e-04
17,0.8855304718017578,0.6620778441429138,0.642782986164093,0.5688151121139526,0.4657738208770752,1e-04
18,0.8483119606971741,0.6576718091964722,0.6405463814735413,0.5656934380531311,0.4613095223903656,1e-04
19,0.8118331432342529,0.6735795736312866,0.6535665988922119,0.5856690406799316,0.47678571939468384,1e-04
20,0.7902131676673889,0.6676916480064392,0.6512900590896606,0.5851749181747437,0.45972222089767456,1e-04
21,0.7597438097000122,0.68257075548172,0.6650291681289673,0.6069758534431458,0.4764880836009979,1e-04
22,0.7464211583137512,0.6722881197929382,0.6570413112640381,0.5945774912834167,0.4655753970146179,1e-04
23,0.7268943190574646,0.6880874037742615,0.6682642102241516,0.6126205921173096,0.4786706268787384,1e-04
24,0.720664918422699,0.6757936477661133,0.6601166129112244,0.6055391430854797,0.44682538509368896,1e-04
25,0.7119156718254089,0.6804515719413757,0.6630321741104126,0.6071475148200989,0.4618055522441864,1e-04
26,0.6959217190742493,0.6914427876472473,0.6698218584060669,0.619543731212616,0.4660714268684387,1e-04
27,0.6961137652397156,0.6756657361984253,0.658239483833313,0.600052535533905,0.4530754089355469,1e-04
28,0.685299277305603,0.6776373982429504,0.6617141962051392,0.6111571192741394,0.43908730149269104,1e-04
29,0.6785743236541748,0.6918174624443054,0.673216700553894,0.6225148439407349,0.4783730208873749,1e-04
30,0.6790062189102173,0.6835204362869263,0.6696621179580688,0.6221142411231995,0.4571428596973419,1e-04
31,0.6736077070236206,0.687775731086731,0.6738157868385315,0.6311172246932983,0.45674604177474976,1e-04
32,0.6691039204597473,0.6897523403167725,0.6766914129257202,0.6346127986907959,0.46418651938438416,1e-04
33,0.6627896428108215,0.7013865113258362,0.678368866443634,0.6323971152305603,0.48025792837142944,1e-04
34,0.6618099808692932,0.6967679858207703,0.6743749380111694,0.6245636940002441,0.47926586866378784,1e-04
35,0.6610049605369568,0.6946406960487366,0.6754133701324463,0.6322274804115295,0.46319442987442017,1e-04
36,0.665810763835907,0.6829058527946472,0.6660676002502441,0.6187318563461304,0.44434523582458496,1e-04
37,0.6558692455291748,0.6969589591026306,0.6754932403564453,0.6298313140869141,0.4704365134239197,1e-04
38,0.6576770544052124,0.698206901550293,0.6740554571151733,0.6323630809783936,0.45476189255714417,1e-04
39,0.6555776596069336,0.6971836090087891,0.6713795065879822,0.62483149766922,0.4598214328289032,1e-04
40,0.6552292704582214,0.6945167779922485,0.6784487366676331,0.6377460956573486,0.4659722149372101,1e-04
41,0.6542671322822571,0.6999159455299377,0.6770508885383606,0.6350582242012024,0.4650793671607971,1e-04
42,0.6476758718490601,0.7092546224594116,0.6822030544281006,0.6347594261169434,0.4960317313671112,1e-04
43,0.655203640460968,0.6993206739425659,0.6749340891838074,0.6320228576660156,0.46091270446777344,1e-04
44,0.6499001383781433,0.7058277726173401,0.6732965707778931,0.6278256177902222,0.46289682388305664,1e-04
45,0.6571764945983887,0.668603777885437,0.637630820274353,0.5634850859642029,0.44335317611694336,6e-05
