,loss,auc,binary_accuracy,precision,recall,val_loss,val_auc,val_binary_accuracy,val_precision,val_recall,lr
0,0.7345040440559387,0.6206685304641724,0.6101653575897217,0.529901385307312,0.4865373373031616,0.6840977668762207,0.6987250447273254,0.6457242369651794,0.5953757166862488,0.43644067645072937,1e-04
1,0.7143683433532715,0.6415482759475708,0.6141908168792725,0.5371420979499817,0.4676072895526886,0.6838075518608093,0.7145300507545471,0.6282722353935242,0.7346938848495483,0.1525423675775528,1e-04
2,0.6962155699729919,0.6697934865951538,0.6436781883239746,0.5837188959121704,0.4746619760990143,0.681178092956543,0.6953867673873901,0.6282722353935242,0.7346938848495483,0.1525423675775528,1e-04
3,0.6840100288391113,0.6866822242736816,0.6563363671302795,0.6082049608230591,0.4689006507396698,0.6783943772315979,0.7135052680969238,0.6352530717849731,0.7647058963775635,0.16525423526763916,1e-04
4,0.6640174388885498,0.7097834348678589,0.6754449605941772,0.6372860670089722,0.49476778507232666,0.684435248374939,0.7075076699256897,0.614310622215271,0.7419354915618896,0.09745762497186661,1e-04
5,0.6582922339439392,0.715209424495697,0.6789854168891907,0.6453452706336975,0.4922986626625061,0.6755666732788086,0.7131720781326294,0.62129145860672,0.7111111283302307,0.1355932205915451,1e-04
6,0.6437239646911621,0.7365755438804626,0.696008563041687,0.6681702136993408,0.5225161910057068,0.6661747694015503,0.7153221964836121,0.6544502377510071,0.6696428656578064,0.31779661774635315,1e-04
7,0.6446900367736816,0.7268551588058472,0.6813618540763855,0.643227219581604,0.510875940322876,0.6667813062667847,0.7060868740081787,0.6422338485717773,0.7066666483879089,0.22457626461982727,1e-04
8,0.6391488313674927,0.7328609824180603,0.684465765953064,0.6498725414276123,0.5095825791358948,0.6678844690322876,0.7073441743850708,0.6335078477859497,0.7599999904632568,0.16101695597171783,1e-04
9,0.6277474761009216,0.7446495890617371,0.6942140460014343,0.6657624840736389,0.5194591283798218,0.6698866486549377,0.7106824517250061,0.6247818470001221,0.7234042286872864,0.14406779408454895,1e-04
10,0.6254502534866333,0.7423579692840576,0.6914981603622437,0.6586267948150635,0.5233392119407654,0.6631355881690979,0.7321643829345703,0.6457242369651794,0.746268630027771,0.2118644118309021,8e-05
11,0.6131428480148315,0.7579830288887024,0.7025558948516846,0.6788838505744934,0.5292180776596069,0.674953043460846,0.6971973776817322,0.6300174593925476,0.760869562625885,0.14830508828163147,8e-05
12,0.6109520792961121,0.7573810815811157,0.7010524272918701,0.6801046133041382,0.5196942687034607,0.6707068681716919,0.697719156742096,0.6265270709991455,0.739130437374115,0.14406779408454895,8e-05
13,0.59909987449646,0.7710362076759338,0.7119162082672119,0.6959511041641235,0.5355672836303711,0.6731905937194824,0.7078408598899841,0.6265270709991455,0.75,0.13983051478862762,8e-05
14,0.6062471866607666,0.7640357613563538,0.7079877853393555,0.6814197897911072,0.5485008955001831,0.6612454056739807,0.7357227206230164,0.6631762385368347,0.7721518874168396,0.25847458839416504,6.4e-05
15,0.5940690040588379,0.7739913463592529,0.7131771445274353,0.6960799098014832,0.5407407283782959,0.667425811290741,0.7046785950660706,0.6387434601783752,0.7843137383460999,0.16949152946472168,6.4e-05
16,0.5893679857254028,0.782201886177063,0.7249624133110046,0.7124437689781189,0.5587301850318909,0.669696033000946,0.7051186561584473,0.6282722353935242,0.7555555701255798,0.14406779408454895,6.4e-05
17,0.5802982449531555,0.7922964692115784,0.7315097451210022,0.7216663956642151,0.5682539939880371,0.6622515916824341,0.7191193699836731,0.6544502377510071,0.7567567825317383,0.23728813230991364,6.4e-05
18,0.59428870677948,0.7710158824920654,0.7123526930809021,0.689487636089325,0.5506172776222229,0.6640122532844543,0.7226273417472839,0.6474694609642029,0.765625,0.20762711763381958,5.12e-05
19,0.5827281475067139,0.7880528569221497,0.7285028100013733,0.719131588935852,0.5608465671539307,0.6579622626304626,0.7319254875183105,0.661431074142456,0.7763158082962036,0.25,5.12e-05
