,loss,auc,binary_accuracy,precision,recall,lr
0,0.74663907289505,0.6094077825546265,0.5838376879692078,0.4957590401172638,0.538902997970581,1e-04
1,0.7254524230957031,0.6318281888961792,0.603313148021698,0.5192124843597412,0.5135948657989502,1e-04
2,0.709011435508728,0.6517778038978577,0.6165425181388855,0.5379521250724792,0.49675416946411133,1e-04
3,0.6996240615844727,0.659859836101532,0.6225946545600891,0.5481560826301575,0.48245367407798767,1e-04
4,0.6888992190361023,0.6747220754623413,0.6346213817596436,0.5649190545082092,0.4957192540168762,1e-04
5,0.6780760884284973,0.688352644443512,0.6435831785202026,0.5787805914878845,0.4983535706996918,1e-04
6,0.6735016703605652,0.693886935710907,0.6468032002449036,0.5840961933135986,0.4982594847679138,1e-04
7,0.6677232384681702,0.6984887719154358,0.6473075747489929,0.5860949158668518,0.49252045154571533,1e-04
8,0.6606079936027527,0.7079178690910339,0.6568125486373901,0.5986063480377197,0.5091730356216431,1e-04
9,0.6554129123687744,0.7123761773109436,0.6575884819030762,0.5991421937942505,0.5125599503517151,1e-04
10,0.6530995965003967,0.7141595482826233,0.659644603729248,0.6029966473579407,0.5111487507820129,1e-04
11,0.6461193561553955,0.7213693261146545,0.6641449332237244,0.6093126535415649,0.5170758962631226,1e-04
12,0.6391906142234802,0.7306875586509705,0.6720204949378967,0.6213321685791016,0.5239439010620117,1e-04
13,0.6314706802368164,0.740872323513031,0.6827669143676758,0.6344888210296631,0.5441716313362122,1e-04
14,0.6318913102149963,0.7369239330291748,0.6734946966171265,0.6222246885299683,0.5299651622772217,1e-04
15,0.6248826384544373,0.744330644607544,0.6803615689277649,0.6331624984741211,0.5345752239227295,1e-04
16,0.6182998418807983,0.7520469427108765,0.6880431175231934,0.6403775215148926,0.5553674101829529,1e-04
17,0.6135163903236389,0.757028341293335,0.6904096603393555,0.6472812294960022,0.5476526618003845,1e-04
18,0.6087881326675415,0.7616221904754639,0.6951815485954285,0.6534543633460999,0.5552732944488525,1e-04
19,0.603191614151001,0.7678359150886536,0.7017768621444702,0.6617906093597412,0.5660927891731262,1e-04
20,0.6032227277755737,0.7669077515602112,0.6996818780899048,0.6604800820350647,0.5591306686401367,1e-04
21,0.5979392528533936,0.7706677317619324,0.7028631567955017,0.6655149459838867,0.5617649555206299,1e-04
22,0.5936992764472961,0.7758730053901672,0.7006517648696899,0.6558253765106201,0.5767240524291992,1e-04
23,0.5881486535072327,0.7813065052032471,0.7104671001434326,0.6709503531455994,0.5845328569412231,1e-04
24,0.5856995582580566,0.7837332487106323,0.7115533947944641,0.6750712394714355,0.5793583393096924,1e-04
25,0.5788617730140686,0.7915776371955872,0.7204376459121704,0.6864582300186157,0.5928121209144592,1e-04
26,0.576398491859436,0.7931960225105286,0.7196617126464844,0.6861801147460938,0.5899896621704102,1e-04
27,0.5715058445930481,0.798535943031311,0.7265673279762268,0.6954054236412048,0.5994919538497925,1e-04
28,0.5741192698478699,0.7945588231086731,0.7218342423439026,0.6885835528373718,0.5941292643547058,1e-04
29,0.5664665699005127,0.801306426525116,0.7257526516914368,0.6956474184989929,0.5954464077949524,1e-04
30,0.5674822330474854,0.8005707263946533,0.7284683585166931,0.7001102566719055,0.5974221229553223,1e-04
31,0.5577062368392944,0.8108530640602112,0.7349084615707397,0.7033861875534058,0.6175557374954224,1e-04
32,0.553428590297699,0.8144221901893616,0.7387104034423828,0.710259199142456,0.6187788248062134,1e-04
33,0.5526133179664612,0.8150930404663086,0.7403786182403564,0.7178267240524292,0.6103113889694214,1e-04
34,0.545708954334259,0.8217167854309082,0.7437538504600525,0.7200350165367126,0.6194373965263367,1e-04
35,0.5456472635269165,0.8220890164375305,0.7467023730278015,0.7249780297279358,0.6215071678161621,1e-04
36,0.540279746055603,0.8256164789199829,0.7469351291656494,0.7230551838874817,0.6261172294616699,1e-04
37,0.5364832282066345,0.8301713466644287,0.7527157068252563,0.7303735613822937,0.6345846056938171,1e-04
38,0.5349388122558594,0.8308766484260559,0.7519397735595703,0.7283511161804199,0.6354313492774963,1e-04
39,0.5338262319564819,0.8318535685539246,0.7534528374671936,0.7338074445724487,0.6310095191001892,1e-04
