,loss,auc_5,binary_accuracy,precision_5,recall_5,lr
0,0.6973671913146973,0.7169362306594849,0.6647894978523254,0.5749844312667847,0.6416666507720947,1e-04
1,0.6493903398513794,0.7736821174621582,0.7231807708740234,0.6405426859855652,0.711904764175415,1e-04
2,0.6046810150146484,0.8176141381263733,0.7589264512062073,0.6809557676315308,0.7548611164093018,1e-04
3,0.5717901587486267,0.8525807857513428,0.7874031662940979,0.7058772444725037,0.8090277910232544,1e-04
4,0.5452879667282104,0.8572591543197632,0.7947520017623901,0.7246930599212646,0.7904762029647827,1e-04
5,0.49560171365737915,0.8975275754928589,0.836608350276947,0.767151415348053,0.853075385093689,1e-04
6,0.46274158358573914,0.9127270579338074,0.8481108546257019,0.7868567705154419,0.8540674448013306,1e-04
7,0.4899168610572815,0.8885469436645508,0.8344915509223938,0.7875411510467529,0.8064484000205994,1e-04
8,0.42264407873153687,0.9307851791381836,0.8665628433227539,0.8004458546638489,0.8905754089355469,1e-04
9,0.41341328620910645,0.9295458793640137,0.8735921382904053,0.827631950378418,0.8664682507514954,1e-04
10,0.46931272745132446,0.8958451747894287,0.8401229977607727,0.7869487404823303,0.8266865015029907,1e-04
11,0.386745423078537,0.9404212832450867,0.881060779094696,0.83143550157547,0.8837301731109619,1e-04
12,0.35932657122612,0.9496288895606995,0.8932422995567322,0.8357356786727905,0.9145833253860474,1e-04
13,0.34966740012168884,0.9530721306800842,0.8977953791618347,0.8483557105064392,0.9085317254066467,1e-04
14,0.3253321051597595,0.9591357111930847,0.9063023924827576,0.8597878813743591,0.9167658686637878,1e-04
15,0.306331604719162,0.9646621942520142,0.9151689410209656,0.8724719285964966,0.9244047403335571,1e-04
16,0.29337891936302185,0.9678755402565002,0.9222381711006165,0.878032922744751,0.9370039701461792,1e-04
17,0.27126210927963257,0.9709142446517944,0.9248342514038086,0.8863336443901062,0.9329364895820618,1e-04
18,0.28827330470085144,0.9643506407737732,0.9213595390319824,0.8980273008346558,0.9077380895614624,1e-04
19,0.3068673610687256,0.9573336243629456,0.9055835008621216,0.88114994764328,0.8848214149475098,1e-04
20,0.2899757921695709,0.9596284627914429,0.917125940322876,0.907628059387207,0.8841269612312317,6e-05
