,loss,auc,binary_accuracy,precision,recall,val_loss,val_auc,val_binary_accuracy,val_precision,val_recall,lr
0,0.71004718542099,0.6733993291854858,0.6625111103057861,0.6048787832260132,0.4763827621936798,0.7480921745300293,0.5016742944717407,0.6063432693481445,0.6000000238418579,0.014150943607091904,1e-04
1,0.7105017900466919,0.6619958281517029,0.639606237411499,0.5695031881332397,0.44468918442726135,0.7439666390419006,0.5040472745895386,0.6063432693481445,0.5714285969734192,0.01886792480945587,1e-04
2,0.7062147259712219,0.6620064973831177,0.6359453797340393,0.5644317865371704,0.43575623631477356,0.7394700050354004,0.5170044302940369,0.60447758436203,0.5,0.01886792480945587,1e-04
3,0.7084739804267883,0.6444121599197388,0.628227949142456,0.5565112829208374,0.39586392045021057,0.7338260412216187,0.5076068639755249,0.608208954334259,0.6666666865348816,0.01886792480945587,1e-04
4,0.6931923031806946,0.6563540101051331,0.6322845816612244,0.5646770596504211,0.3947626054286957,0.7282963395118713,0.5066823959350586,0.608208954334259,0.6000000238418579,0.028301887214183807,1e-04
5,0.6812024116516113,0.6636692881584167,0.6365885138511658,0.5762273669242859,0.3820362091064453,0.7232798337936401,0.49929389357566833,0.6063432693481445,0.5714285969734192,0.01886792480945587,1e-04
6,0.6835358738899231,0.6502513289451599,0.628821611404419,0.5568780899047852,0.40075868368148804,0.7174263000488281,0.47773998975753784,0.6063432693481445,0.5555555820465088,0.02358490601181984,1e-04
7,0.677685558795929,0.6511517763137817,0.6288710832595825,0.5579985976219177,0.39439550042152405,0.7121908664703369,0.510685920715332,0.608208954334259,0.6000000238418579,0.028301887214183807,1e-04
8,0.6741597056388855,0.6510586142539978,0.634213924407959,0.5765446424484253,0.3585413694381714,0.7070927619934082,0.5048043131828308,0.608208954334259,0.625,0.02358490601181984,1e-04
9,0.6645424962043762,0.6578075885772705,0.6398041248321533,0.5841359496116638,0.3784875273704529,0.7031993865966797,0.5107660889625549,0.6063432693481445,0.5714285969734192,0.01886792480945587,1e-04
10,0.6533592343330383,0.6724408268928528,0.6463342308998108,0.5920460820198059,0.4025942385196686,0.6992279291152954,0.5069953799247742,0.608208954334259,0.5714285969734192,0.03773584961891174,1e-04
11,0.6502350568771362,0.663489043712616,0.6397051811218262,0.5858273506164551,0.37126773595809937,0.6966244578361511,0.5083639025688171,0.6100746393203735,0.6153846383094788,0.03773584961891174,1e-04
12,0.6435726881027222,0.672179102897644,0.6533095836639404,0.6093162894248962,0.39696523547172546,0.6956093907356262,0.5125713348388672,0.608208954334259,0.6000000238418579,0.028301887214183807,1e-04
13,0.6466236114501953,0.6661838293075562,0.6406945586204529,0.591503918170929,0.3595203161239624,0.6929076910018921,0.5068644285202026,0.611940324306488,0.6428571343421936,0.04245283082127571,1e-04
14,0.6461726427078247,0.6616814732551575,0.6452458500862122,0.5983107686042786,0.3727361857891083,0.6926970481872559,0.5083202719688416,0.6063432693481445,0.5333333611488342,0.03773584961891174,1e-04
15,0.6470983624458313,0.6579247117042542,0.6506381630897522,0.6117599606513977,0.3717572093009949,0.6902169585227966,0.5068498849868774,0.6100746393203735,0.6363636255264282,0.033018868416547775,1e-04
16,0.6373224854469299,0.674804151058197,0.6530622243881226,0.6173789501190186,0.37298092246055603,0.6912559866905212,0.49320119619369507,0.6026119589805603,0.4736842215061188,0.04245283082127571,1e-04
17,0.635704517364502,0.673629641532898,0.6581577062606812,0.6264022588729858,0.3826480805873871,0.6877427101135254,0.513422966003418,0.608208954334259,0.5833333134651184,0.033018868416547775,1e-04
18,0.635809600353241,0.6741554737091064,0.6564757227897644,0.6138724088668823,0.4050416052341461,0.6894067525863647,0.5024312734603882,0.608208954334259,0.6000000238418579,0.028301887214183807,1e-04
19,0.634163498878479,0.674420952796936,0.6584545373916626,0.6240218877792358,0.3903573155403137,0.6891631484031677,0.5024458169937134,0.608208954334259,0.5714285969734192,0.03773584961891174,1e-04
20,0.6454143524169922,0.6569784283638,0.6502423882484436,0.616786777973175,0.35609397292137146,0.6849649548530579,0.509055495262146,0.611940324306488,0.6428571343421936,0.04245283082127571,1e-04
21,0.6461955904960632,0.6567234992980957,0.6455426812171936,0.6029441952705383,0.36086636781692505,0.685059130191803,0.5134230256080627,0.6063432693481445,0.5454545617103577,0.028301887214183807,1e-04
22,0.6364373564720154,0.6680097579956055,0.6496982574462891,0.6134803295135498,0.36086636781692505,0.6868846416473389,0.5037561058998108,0.608208954334259,0.5714285969734192,0.03773584961891174,1e-04
23,0.6382532119750977,0.671099841594696,0.6495003700256348,0.6080731749534607,0.3742046058177948,0.6838881373405457,0.5148861408233643,0.6100746393203735,0.6000000238418579,0.04245283082127571,1e-04
24,0.6292834877967834,0.6936622262001038,0.6700306534767151,0.6281570196151733,0.45044052600860596,0.6827644109725952,0.5135394930839539,0.608208954334259,0.5833333134651184,0.033018868416547775,1e-04
25,0.6455925107002258,0.6541915535926819,0.6346096992492676,0.5710412263870239,0.38656386733055115,0.6827619671821594,0.5147988200187683,0.611940324306488,0.6428571343421936,0.04245283082127571,1e-04
