,loss,auc_3,binary_accuracy,precision_3,recall_3,lr
0,9.355459213256836,0.5150684118270874,0.5180788040161133,0.42461952567100525,0.47511523962020874,1e-04
1,7.086170196533203,0.5087308287620544,0.5184279680252075,0.41850903630256653,0.43099069595336914,1e-04
2,5.336474418640137,0.5105189085006714,0.5223463773727417,0.4178944230079651,0.40295419096946716,1e-04
3,4.030764579772949,0.5181747674942017,0.5341014862060547,0.42791473865509033,0.38536080718040466,1e-04
4,3.0934770107269287,0.5203959941864014,0.5410459637641907,0.43190836906433105,0.3583592176437378,1e-04
5,2.438335418701172,0.5196483731269836,0.5457402467727661,0.4338073134422302,0.332956999540329,1e-04
6,1.9905445575714111,0.5223991274833679,0.5491930246353149,0.43543973565101624,0.3144228160381317,1e-04
7,1.684244155883789,0.5348936915397644,0.5575729608535767,0.45003223419189453,0.32834696769714355,1e-04
8,1.466330885887146,0.549675464630127,0.5703367590904236,0.47058048844337463,0.33559131622314453,1e-04
9,1.3117531538009644,0.5678144097328186,0.5791822075843811,0.4862060248851776,0.3614639341831207,1e-04
10,1.194530963897705,0.5935337543487549,0.5966014862060547,0.5138372778892517,0.4035186767578125,1e-04
11,1.1037157773971558,0.6148372888565063,0.6095204949378967,0.5326464176177979,0.43287232518196106,1e-04
12,1.0319048166275024,0.621200680732727,0.6163097620010376,0.5439410209655762,0.43033212423324585,1e-04
13,0.9689011573791504,0.636094868183136,0.6312848925590515,0.5673410892486572,0.44585567712783813,1e-04
14,0.9272559285163879,0.6291679739952087,0.6233705878257751,0.5567747354507446,0.4248753488063812,1e-04
15,0.8755815029144287,0.6592146754264832,0.6494801640510559,0.5916935205459595,0.4838649034500122,1e-04
16,0.8460556268692017,0.6465129852294922,0.6433892250061035,0.5915870070457458,0.4366356134414673,1e-04
17,0.8239609599113464,0.6398448944091797,0.6329531073570251,0.5731279850006104,0.4306143522262573,1e-04
18,0.7970908880233765,0.653403103351593,0.6457169651985168,0.5906503796577454,0.4588390290737152,1e-04
19,0.7848424911499023,0.6521824598312378,0.6407898664474487,0.5883870720863342,0.4290149509906769,1e-04
20,0.7683234810829163,0.6606645584106445,0.6556874513626099,0.608620285987854,0.4623200595378876,1e-04
21,0.7529274821281433,0.6795474290847778,0.6664726734161377,0.6250923275947571,0.47765547037124634,1e-04
22,0.7435934543609619,0.6884512305259705,0.6747362017631531,0.6295740604400635,0.5131244659423828,1e-04
23,0.7348015308380127,0.6831088066101074,0.6747750043869019,0.6425126791000366,0.47633832693099976,1e-04
24,0.7324675917625427,0.6857270002365112,0.6720592975616455,0.6297091245651245,0.49694234132766724,1e-04
